"id","name","icon","created_at","updated_at"
6,"Afghani","Afghani.png","2018-01-23 07:12:23.985451","2018-01-23 07:12:23.985451"
152,"African","African.png","2018-01-23 07:12:24.0016","2018-01-23 07:12:24.0016"
1,"American","American.png","2018-01-23 07:12:24.012486","2018-01-23 07:12:24.012486"
954,"Amish","Amish.png","2018-01-23 07:12:24.015409","2018-01-23 07:12:24.015409"
151,"Argentine","Argentine.png","2018-01-23 07:12:24.017948","2018-01-23 07:12:24.017948"
175,"Armenian","Armenian.png","2018-01-23 07:12:24.020523","2018-01-23 07:12:24.020523"
3,"Asian","Asian.png","2018-01-23 07:12:24.023215","2018-01-23 07:12:24.023215"
131,"Australian","Australian.png","2018-01-23 07:12:24.026388","2018-01-23 07:12:24.026388"
201,"Austrian","Austrian.png","2018-01-23 07:12:24.028839","2018-01-23 07:12:24.028839"
193,"BBQ","BBQ.png","2018-01-23 07:12:24.030589","2018-01-23 07:12:24.030589"
955,"Bagels","Bagels.png","2018-01-23 07:12:24.032213","2018-01-23 07:12:24.032213"
5,"Bakery","Bakery.png","2018-01-23 07:12:24.033821","2018-01-23 07:12:24.033821"
227,"Bar Food","BarFood.png","2018-01-23 07:12:24.035402","2018-01-23 07:12:24.035402"
132,"Belgian","Belgian.png","2018-01-23 07:12:24.036997","2018-01-23 07:12:24.036997"
270,"Beverages","Beverages.png","2018-01-23 07:12:24.04165","2018-01-23 07:12:24.04165"
159,"Brazilian","Brazilian.png","2018-01-23 07:12:24.043492","2018-01-23 07:12:24.043492"
182,"Breakfast","Breakfast.png","2018-01-23 07:12:24.045174","2018-01-23 07:12:24.045174"
133,"British","British.png","2018-01-23 07:12:24.046896","2018-01-23 07:12:24.046896"
247,"Bubble Tea","BubbleTea.png","2018-01-23 07:12:24.048686","2018-01-23 07:12:24.048686"
168,"Burger","Burger.png","2018-01-23 07:12:24.050255","2018-01-23 07:12:24.050255"
22,"Burmese","Burmese.jpg","2018-01-23 07:12:24.051713","2018-01-23 07:12:24.051713"
30,"Cafe","Cafe.jpg","2018-01-23 07:12:24.053464","2018-01-23 07:12:24.053464"
491,"Cajun","Cajun.jpg","2018-01-23 07:12:24.055313","2018-01-23 07:12:24.055313"
956,"California","California.jpg","2018-01-23 07:12:24.057001","2018-01-23 07:12:24.057001"
111,"Cambodian","Cambodian.jpg","2018-01-23 07:12:24.058787","2018-01-23 07:12:24.058787"
381,"Canadian","Canadian.jpg","2018-01-23 07:12:24.060416","2018-01-23 07:12:24.060416"
121,"Cantonese","Cantonese.jpg","2018-01-23 07:12:24.062282","2018-01-23 07:12:24.062282"
158,"Caribbean","Caribbean.jpg","2018-01-23 07:12:24.063921","2018-01-23 07:12:24.063921"
202,"Central Asian","Central Asian.jpg","2018-01-23 07:12:24.06574","2018-01-23 07:12:24.06574"
229,"Chilean","Chilean.jpg","2018-01-23 07:12:24.067444","2018-01-23 07:12:24.067444"
25,"Chinese","Chinese.jpg","2018-01-23 07:12:24.069099","2018-01-23 07:12:24.069099"
161,"Coffee and Tea","Coffee and Tea.jpg","2018-01-23 07:12:24.070609","2018-01-23 07:12:24.070609"
287,"Colombian","Colombian.jpg","2018-01-23 07:12:24.072188","2018-01-23 07:12:24.072188"
928,"Creole","Creole.jpg","2018-01-23 07:12:24.073817","2018-01-23 07:12:24.073817"
881,"Crepes","Crepes.jpg","2018-01-23 07:12:24.075463","2018-01-23 07:12:24.075463"
153,"Cuban","Cuban.jpg","2018-01-23 07:12:24.077587","2018-01-23 07:12:24.077587"
203,"Danish","Danish.jpg","2018-01-23 07:12:24.07951","2018-01-23 07:12:24.07951"
192,"Deli","Deli.jpg","2018-01-23 07:12:24.081281","2018-01-23 07:12:24.081281"
100,"Desserts","Desserts.jpg","2018-01-23 07:12:24.082878","2018-01-23 07:12:24.082878"
411,"Dim Sum","Dim Sum.jpg","2018-01-23 07:12:24.084654","2018-01-23 07:12:24.084654"
541,"Diner","Diner.jpg","2018-01-23 07:12:24.086339","2018-01-23 07:12:24.086339"
958,"Dominican","Dominican.jpg","2018-01-23 07:12:24.087873","2018-01-23 07:12:24.087873"
959,"Donuts","Donuts.jpg","2018-01-23 07:12:24.089957","2018-01-23 07:12:24.089957"
268,"Drinks Only","Drinks Only.jpg","2018-01-23 07:12:24.091532","2018-01-23 07:12:24.091532"
651,"Eastern European","Eastern European.jpg","2018-01-23 07:12:24.093109","2018-01-23 07:12:24.093109"
316,"Ecuadorian","Ecuadorian.jpg","2018-01-23 07:12:24.094672","2018-01-23 07:12:24.094672"
149,"Ethiopian","Ethiopian.jpg","2018-01-23 07:12:24.096371","2018-01-23 07:12:24.096371"
38,"European","European.jpg","2018-01-23 07:12:24.098001","2018-01-23 07:12:24.098001"
40,"Fast Food","Fast Food.jpg","2018-01-23 07:12:24.099846","2018-01-23 07:12:24.099846"
112,"Filipino","Filipino.jpg","2018-01-23 07:12:24.10186","2018-01-23 07:12:24.10186"
298,"Fish and Chips","Fish and Chips.jpg","2018-01-23 07:12:24.103703","2018-01-23 07:12:24.103703"
318,"Fondue","Fondue.jpg","2018-01-23 07:12:24.105227","2018-01-23 07:12:24.105227"
45,"French","French.jpg","2018-01-23 07:12:24.107367","2018-01-23 07:12:24.107367"
